Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D8.0mm_P2.50mm_Horizontal_Mirrored,2,100uF,
"C3, C4",C_Disc_D4.3mm_W1.9mm_P5.00mm,2,100nF,
D1,D_DO-35_SOD27_P7.62mm_Horizontal,1,D,
J1,PinSocket_1x07_P2.54mm_Vertical,1,Conn_01x07_Socket,
J2,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Socket,
"J3, J4",PinHeader_1x04_P2.54mm_Horizontal,2,Conn_01x04_Socket,
SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm_Pins_1_2_Reversed,1,Slideswitch,
U1,USB-C_POWER_BOARD_9V_1A,1,USB-C_POWER_BOARD_9V_1A,
U2,XIAO_RP2040_SEEED,1,XIAO_RP2040_SEEED,
"U3, U4",Pololu_Breakout-16_15.2x20.3mm,2,Pololu_Breakout_A4988,
