Designator,Mid X,Mid Y,Rotation,Layer
C1,129.6848,-99.222,90.0,top
C2,153.162,-99.222,90.0,top
C3,127.0,-99.3248,270.0,top
C4,150.495,-99.3248,270.0,top
D1,124.206,-72.009,0.0,top
H1,104.27,-71.41,0.0,top
H2,104.27,-113.79,0.0,top
H3,166.65,-71.41,0.0,top
H4,166.65,-113.79,0.0,top
J1,117.348,-115.545,90.0,top
J2,133.096,-115.57,90.0,top
J3,144.516,-109.22,270.0,top
J4,158.242,-109.22,270.0,top
SW1,112.243,-72.009,180.0,top
U1,147.066,-79.502,270.0,top
U2,110.998,-101.092,90.0,top
U3,134.112,-99.314,90.0,top
U4,157.607,-99.314,90.0,top
