Designator,Mid X,Mid Y,Rotation,Layer
C1,53.34,19.762,90.0,top
C2,30.988,19.722,90.0,top
C3,50.8,19.852,270.0,top
C4,28.448,19.852,270.0,top
CN1,34.788,10.471,270.0,top
CN2,57.15,10.471,270.0,top
D1,22.352,40.894,0.0,top
H1,46.736,47.9999,90.0,top
H10,57.15,13.462,90.0,top
H2,46.736,30.226,90.0,top
H3,15.001,45.466,90.0,top
H4,16.256,4.318,270.0,top
H5,12.319,26.035,270.0,top
H6,12.319,10.795,90.0,top
H7,34.798,26.1619,270.0,top
H8,34.798,13.462,90.0,top
H9,57.15,26.162,270.0,top
PAD1,66.1899,3.81,0.0,top
PAD2,66.1899,46.1899,0.0,top
PAD3,3.81,46.1899,0.0,top
PAD4,3.81,3.81,0.0,top
SW1,3.556,35.585,90.0,top
