Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","390pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",130.526000,-93.372500,90.000000,top
"C2","390pF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",129.002000,-93.372500,90.000000,top
"C3","3.3uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",124.684000,-87.176000,0.000000,top
"C4","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",124.684000,-89.208000,0.000000,top
"C5","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",132.812000,-104.294500,-90.000000,top
"C6","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",128.240000,-104.294500,-90.000000,top
"C7","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",129.764000,-104.294500,-90.000000,top
"C8","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",131.288000,-104.294500,-90.000000,top
"C9","1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",124.329500,-106.988000,0.000000,top
"D1","15V","D_SOD-323F",124.571000,-97.820000,0.000000,top
"D2","LED_Small","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",133.828000,-88.700000,-90.000000,top
"J1","USB-C Power","USB_C_Receptacle_HRO_TYPE-C-31-M-12",129.510000,-79.810000,180.000000,top
"Q1","DMP3013SFV","Diodes_PowerDI3333-8",124.627000,-94.288000,90.000000,top
"Q2","DMP3013SFV","Diodes_PowerDI3333-8",124.627000,-103.464000,-90.000000,top
"R1","5.1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.860000,-85.802500,-90.000000,top
"R2","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.860000,-89.104500,-90.000000,top
"R3","5.1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.860000,-106.329500,90.000000,top
"R4","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.860000,-102.773500,90.000000,top
"R5","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",124.687000,-90.986000,0.000000,top
"R6","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.272000,-101.654000,0.000000,top
"R7","47K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",124.547500,-99.852000,0.000000,top
"R8","2K4","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",134.082000,-92.905500,90.000000,top
"U1","CYPD3177","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",131.796000,-98.098000,180.000000,top
