Designator,Mid X,Mid Y,Rotation,Layer
C1,130.526,-93.3725,90.0,top
C2,129.002,-93.3725,90.0,top
C3,124.684,-87.176,0.0,top
C4,124.684,-89.208,0.0,top
C5,132.812,-104.2945,270.0,top
C6,128.24,-104.2945,270.0,top
C7,129.764,-104.2945,270.0,top
C8,131.288,-104.2945,270.0,top
C9,124.3295,-106.988,0.0,top
D1,124.571,-97.82,0.0,top
D2,133.828,-88.7,270.0,top
J1,129.51,-79.81,180.0,top
J2,120.62,-92.51,0.0,bottom
J4,138.4,-92.51,0.0,bottom
Q1,124.627,-94.288,90.0,top
Q2,124.627,-103.464,270.0,top
R1,135.86,-85.8025,270.0,top
R2,135.86,-89.1045,270.0,top
R3,135.86,-106.3295,90.0,top
R4,135.86,-102.7735,90.0,top
R5,124.687,-90.986,0.0,top
R6,130.272,-101.654,0.0,top
R7,124.5475,-99.852,0.0,top
R8,134.082,-92.9055,90.0,top
U1,131.796,-98.098,270.0,top
